annotations,split,image_id,panoid,heading,gsv_image_path
"[{'category_id': 1,'bbox':[424, 189, 454, 221],'bbox_mode': 0}]",train,image667139,667139,157,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_667139_157.jpg
"[{'category_id': 1,'bbox':[248, 176, 283, 206],'bbox_mode': 0}]",train,image219233,219233,91,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_219233_91.jpg
"[{'category_id': 1,'bbox':[307, 339, 340, 367],'bbox_mode': 0}]",train,image104986,104986,178,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_104986_178.jpg
"[{'category_id': 1,'bbox':[33, 326, 63, 358],'bbox_mode': 0}]",train,image133300,133300,77,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_133300_77.jpg
"[{'category_id': 1,'bbox':[566, 26, 609, 70],'bbox_mode': 0}]",train,image137255,137255,62,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_137255_62.jpg
"[{'category_id': 1,'bbox':[182, 247, 211, 279],'bbox_mode': 0}]",train,image1042279,1042279,169,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1042279_169.jpg
"[{'category_id': 1,'bbox':[106, 215, 140, 249],'bbox_mode': 0}]",train,image153575,153575,68,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_153575_68.jpg
"[{'category_id': 1,'bbox':[256, 285, 290, 315],'bbox_mode': 0}]",train,image1639577,1639577,24,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1639577_24.jpg
"[{'category_id': 1,'bbox':[0, 210, 36, 239],'bbox_mode': 0}]",train,image122692,122692,227,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_122692_227.jpg
"[{'category_id': 1,'bbox':[111, 281, 144, 312],'bbox_mode': 0}]",train,image211087,211087,8,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_211087_8.jpg
"[{'category_id': 1,'bbox':[229, 226, 269, 258],'bbox_mode': 0}]",train,image112810,112810,100,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_112810_100.jpg
"[{'category_id': 1,'bbox':[396, 289, 424, 318],'bbox_mode': 0}]",train,image918673,918673,35,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_918673_35.jpg
"[{'category_id': 1,'bbox':[237, 300, 255, 318],'bbox_mode': 0}]",train,image244529,244529,44,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_244529_44.jpg
"[{'category_id': 1,'bbox':[402, 330, 432, 360],'bbox_mode': 0}]",train,image224241,224241,178,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_224241_178.jpg
"[{'category_id': 1,'bbox':[293, 196, 324, 227],'bbox_mode': 0}]",train,image1306688,1306688,88,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_1306688_88.jpg
"[{'category_id': 1,'bbox':[558, 141, 593, 171],'bbox_mode': 0}]",train,image383686,383686,3,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_383686_3.jpg
"[{'category_id': 1,'bbox':[403, 167, 440, 202],'bbox_mode': 0}]",train,image194477,194477,199,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_194477_199.jpg
"[{'category_id': 1,'bbox':[81, 313, 123, 349],'bbox_mode': 0}]",train,image120706,120706,199,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_120706_199.jpg
"[{'category_id': 1,'bbox':[147, 274, 175, 305],'bbox_mode': 0}]",train,image870782,870782,27,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_870782_27.jpg
"[{'category_id': 1,'bbox':[556, 294, 586, 324],'bbox_mode': 0}]",train,image135518,135518,166,/home/hinux/Desktop/project04/checking_folder/filtered_img_camera/camera_train/strtV_image_135518_166.jpg
